Column1,track_id,artists,album_name,track_name,popularity,duration_ms,explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,track_genre,pca1,pca2
37886,5MHVMHpukPz9DfsW88Bo9f,É O Tchan,É O Tchan No Havai,É O Tchan No Havaii / Citação Musical: Hawai 5-0,44,208893,False,0.723,0.823,7,-5.35,1,0.103,0.304,0.0,0.453,0.85,100.251,4,funk,1.3488108340388163,1.0284738951718262
86659,4SBTogXwTxT4Okzrej5PtW,Çilekeş,Y.O.K.,Yetmiyor,40,276080,False,0.472,0.749,1,-6.537,0,0.0304,0.000954,9.72e-06,0.153,0.107,141.986,4,punk,0.5952489623039653,-1.4253307772754977
32942,2vnGorXYbAzIBijgWjzErl,Ándrue;Mythos 'N DJ Cosmo,The Heart of the Ocean,The Heart of the Ocean,32,355009,False,0.587,0.915,11,-4.893,0,0.0322,0.0116,0.602,0.255,0.165,138.026,4,electronic,0.644511032771052,-2.085286627345758
86487,21GXTV2KRrWSeKgDN8nlJh,Árbol,Triste Hora,El Fantasma,0,237800,False,0.62,0.609,7,-4.779,1,0.0291,0.201,0.0,0.0625,0.621,139.065,4,punk,0.824969067275749,0.5263921246267466
86489,2fGcRXnPv8I9qy2JdpwCGR,Árbol,Rock x siempre,El Fantasma,0,237800,False,0.62,0.609,7,-4.779,1,0.0291,0.201,0.0,0.0625,0.621,139.065,4,punk,0.824969067275749,0.5263921246267466
86574,2FBAM2dVhCex33z30YA7hV,Árbol,GUAU!,Canciones,41,139306,False,0.61,0.829,2,-2.177,1,0.0663,0.0901,0.0,0.136,0.963,147.898,4,punk,2.0851991262256493,0.6672199294180327
86633,2Vm4Uy2fsUcyRjViraNRPH,Árbol,GUAU!,Chikanorexika,40,231866,False,0.683,0.911,5,-3.332,0,0.0665,0.162,0.0,0.0726,0.879,92.003,4,punk,1.6972471139825678,1.0592892435010346
86726,0bGIiqXgKcQ2zvGc5PVnXc,Árbol,Chapusong,Enes,40,194040,True,0.684,0.737,9,-4.236,1,0.0468,0.0121,7.68e-06,0.171,0.588,139.077,4,punk,1.5117692880020668,0.23165657956962787
86766,2SmmevhFsgczaqU8pUDgaN,Árbol,GUAU!,Suerte!,40,159693,False,0.6,0.9,6,-2.328,1,0.0744,0.00872,0.0,0.0307,0.695,99.557,4,punk,1.7436813494408419,0.26800022682240626
86860,5wox6DMRibm9xFZklhWmSZ,Árbol,Escapar,Escapar,39,176643,False,0.45,0.755,0,-5.872,1,0.0316,0.0139,0.0,0.17,0.243,179.886,3,punk,0.9814831085412479,-1.4353852523291193
71782,641epaxGPCWU6j2SIdQ6v7,ÖTENAZİ;Mavi,OTENAZI FASHION,OTENAZI FASHION,40,158568,True,0.94,0.581,2,-12.619,1,0.4,0.0442,0.0,0.372,0.662,116.969,4,metal,0.6280816147600292,1.512630957306467
71690,0UIrLwFq3cvTg5vBMmlfjp,ŠKWOR,Tváře smutnejch hrdinů,Nejistá přítomnost,42,236506,False,0.603,0.789,10,-4.918,0,0.029,0.000244,1.52e-06,0.101,0.506,115.011,4,metal,1.2076783871398753,-0.07739161538695633
86871,7tdvNIkzAYUcCWxRi7NvhY,Štěpán Soukup,Tommy Poser,Alkoholka 2015,37,205250,False,0.622,0.738,8,-3.551,0,0.0301,0.000897,6.19e-06,0.105,0.466,125.005,4,punk,1.2977272279012315,-0.11158011711120798
86917,7tdvNIkzAYUcCWxRi7NvhY,Štěpán Soukup,Tommy Poser,Alkoholka 2015,37,205250,False,0.622,0.738,8,-3.551,0,0.0301,0.000897,6.19e-06,0.105,0.466,125.005,4,punk,1.2977272279012315,-0.11158011711120798
103956,2LfBDbOiUrtt823XLBH30H,12AM,Drugs,Drugs,47,162858,True,0.586,0.783,1,-4.901,0,0.038,0.151,5.98e-05,0.458,0.182,83.996,4,soul,0.6482298478592516,-0.8001803027546657
86519,3IKUuAJghlmAkjBKbXaGjS,175R,175R BEST 「ANNIVERSARY 1998-2018」,ハッピーライフ,39,209000,False,0.498,0.978,8,-2.908,1,0.116,1.41e-05,1.8e-06,0.141,0.359,132.949,4,punk,1.6541267501083494,-1.1124880395222716
32891,5tDALG04wtaoINgjNXK1cn,1988;Kukon,Ruleta,Dutch,35,202533,False,0.639,0.376,2,-12.91,1,0.141,0.13,0.0143,0.132,0.119,139.914,4,electronic,-0.8251893085074482,-0.16653946752185544
86420,4Bm9mh2IiaMU77PuIqIvsR,2 minutos,No Estés Triste,No Estés Triste,43,226041,False,0.572,0.958,0,-5.136,1,0.0709,0.00818,9.75e-06,0.394,0.36,99.963,4,punk,1.3858096192447709,-0.8515266455207958
86499,5vF5JqvpoeRmh1Yj188ZNA,2 minutos,Amigos de lo Ajeno,Un velero llamado Libertad,42,214573,False,0.453,0.955,8,-4.363,1,0.0536,0.000143,0.0874,0.0408,0.648,104.258,4,punk,1.3443960846735497,-0.5048056545326133
86975,2MJGIie6rHtECQnhbFdnX7,2 minutos,Amor en Pandemia,Amor en Pandemia,38,167115,False,0.527,0.978,4,-4.338,1,0.0772,0.000206,1.03e-05,0.336,0.473,102.538,4,punk,1.5538945390731622,-0.7744248994820578
32626,5zSLlhe4kThCv0otCTv5CL,22 Void Beats;Sneaky Ollie;Milano The Don,Motivation,Motivation,38,118583,False,0.469,0.95,9,-6.459,1,0.443,0.0264,0.00453,0.19,0.312,149.883,4,electronic,1.2154585223339291,-1.3215862750920004
32979,3TBwN5fIDPS8NbypGJKTfn,22 Void Beats;Sneaky Ollie;Peter Piffen,Straight Up,Straight Up,36,165708,False,0.646,0.893,9,-5.188,1,0.0689,0.0497,0.000798,0.33,0.764,145.06,4,electronic,1.88786080614022,0.15547028718426945
53956,7iUB3byx9Rcks8zW10JVkP,220 KID;LANY,Stupid Feelings,Stupid Feelings,68,166924,False,0.715,0.778,6,-6.546,0,0.0365,0.0152,0.0,0.121,0.756,123.954,4,house,1.4285420346644062,0.7874542737656388
87163,0OHb7gATo0tsH5MfDQTMLw,22Gz,The Hype,"Suburban, Pt. 2",2,190746,True,0.829,0.572,11,-6.902,1,0.746,0.281,0.0,0.124,0.54,143.935,4,r-n-b,0.6739787038877216,1.1138612540369832
87166,0VljLybFVhAQbc5qBDHawU,22Gz,New Grooves,Fallen Blixkys,0,134137,True,0.888,0.566,2,-5.136,1,0.403,0.13,0.0,0.121,0.488,142.974,4,r-n-b,1.0864864006259438,1.0461740712498055
87167,48u8UBBgyKStzEJcDRM5UK,22Gz,Her - All Rap,Sniper Gang Freestyle Pt. 2,0,164608,True,0.884,0.665,8,-5.601,1,0.414,0.0986,0.0,0.0865,0.462,140.997,4,r-n-b,1.2264152319373272,0.8768582218610037
87171,2agBuyTLCHxi0VvsBlueRw,22Gz,Drillin' & Rappin',Fallen Blixkys,1,134137,True,0.888,0.566,2,-5.136,1,0.403,0.13,0.0,0.121,0.488,142.974,4,r-n-b,1.0864864006259438,1.0461740712498055
87172,3bu9zBjvsZ1A14tbN6tseM,22Gz,Trending Hip Hop,Fallen Blixkys,0,134137,True,0.888,0.566,2,-5.136,1,0.403,0.13,0.0,0.121,0.488,142.974,4,r-n-b,1.0864864006259438,1.0461740712498055
87852,7rWLqeQJabrK7FbY8X0TyI,22Gz,Growth & Development,"Suburban, Pt. 2",67,190746,True,0.83,0.574,11,-6.892,1,0.701,0.281,0.0,0.124,0.538,143.892,4,r-n-b,0.6783875062773345,1.1106005167868742
87152,52LbfFLnCm9liqK6VBBoQD,22Gz;Kodak Black,Walk in the Park Rap,Up n Stuck,0,193970,True,0.869,0.802,9,-3.37,0,0.504,0.0978,0.0,0.0998,0.346,140.89,4,r-n-b,1.62368770471653,0.3732560801156094
87153,3QTZkm3pLOZfErqf91YSOO,22Gz;Kodak Black,Walk - Fresh Rap Flow,Up n Stuck,0,193970,True,0.869,0.802,9,-3.37,0,0.504,0.0978,0.0,0.0998,0.346,140.89,4,r-n-b,1.62368770471653,0.3732560801156094
87154,45e6OL7Aixm8fxWpBAJ7DY,22Gz;Kodak Black,Tic Tac - Just Rap,Up n Stuck,0,193970,True,0.869,0.802,9,-3.37,0,0.504,0.0978,0.0,0.0998,0.346,140.89,4,r-n-b,1.62368770471653,0.3732560801156094
87155,0tEXlkyMxbOFoD1434xDuN,22Gz;Kodak Black,Hiphopowe nowości,Up n Stuck,0,193970,True,0.869,0.802,9,-3.37,0,0.504,0.0978,0.0,0.0998,0.346,140.89,4,r-n-b,1.62368770471653,0.3732560801156094
87156,0apVKzNiTjADxZIIKpX7kA,22Gz;Kodak Black,Contemporary Hip Hop,Up n Stuck,0,193970,True,0.869,0.802,9,-3.37,0,0.504,0.0978,0.0,0.0998,0.346,140.89,4,r-n-b,1.62368770471653,0.3732560801156094
87157,5GAumNrU3x54Joxg95Ibb7,22Gz;Kodak Black,Sailor on the Moon - Hot New Rap,Up n Stuck,0,193970,True,0.869,0.802,9,-3.37,0,0.504,0.0978,0.0,0.0998,0.346,140.89,4,r-n-b,1.62368770471653,0.3732560801156094
87160,2liWidOj8NL80SxHJqS6fV,22Gz;Kodak Black,Drillin' & Rappin',Up n Stuck,1,193970,True,0.869,0.802,9,-3.37,0,0.504,0.0978,0.0,0.0998,0.346,140.89,4,r-n-b,1.62368770471653,0.3732560801156094
87161,6orFb31OWo3wQSGIQfi6Nt,22Gz;Kodak Black,Pushin P - Top Rap,Up n Stuck,0,193970,True,0.869,0.802,9,-3.37,0,0.504,0.0978,0.0,0.0998,0.346,140.89,4,r-n-b,1.62368770471653,0.3732560801156094
87162,7FqkxZQpaqzQtLKrUhELLw,22Gz;Kodak Black,Ghetto Superstar - New Rap Classics,Up n Stuck,0,193970,True,0.869,0.802,9,-3.37,0,0.504,0.0978,0.0,0.0998,0.346,140.89,4,r-n-b,1.62368770471653,0.3732560801156094
81460,4jPy3l0RUwlUI9T5XHBW2m,24kGoldn;iann dior,El Dorado,Mood (feat. iann dior),83,140533,True,0.701,0.716,7,-3.671,0,0.0361,0.174,0.0,0.324,0.732,91.007,4,pop,1.2448237784144953,0.8610493490444519
37217,5g9lS8deSIxItFBmZRC4vN,2Pac,All Eyez On Me,Ambitionz Az A Ridah,79,278386,True,0.801,0.91,2,-6.566,1,0.225,0.00239,0.000891,0.0737,0.805,87.277,4,funk,1.6374753066946928,1.2209860684206326
37350,4AE7Lj39VnSZNOmGH2iZaq,2Pac,R U Still Down? [Remember Me],Do For Love,75,281600,True,0.874,0.63,1,-3.585,1,0.298,0.0578,0.00479,0.0582,0.717,95.0,4,funk,1.359972406635674,1.5932648326813355
37353,6tDxrq4FxEL2q15y37tXT9,2Pac,Me Against The World,Dear Mama,72,280000,True,0.773,0.54,6,-7.123,1,0.103,0.371,0.0,0.131,0.322,84.115,4,funk,-0.1574761434032365,0.9147815032055823
37555,7rUchbZxrhF29Q0vYjKEU0,2Pac,All Eyez On Me,Can't C Me,70,330760,True,0.795,0.852,0,-2.238,1,0.178,0.0442,3.47e-06,0.39,0.673,95.44,4,funk,1.983346979429818,0.6542027430266867
37602,0XRbYXQUymj9SJkrr8YK5B,2Pac,Strictly 4 My N.I.G.G.A.Z...,Keep Ya Head Up,71,262506,True,0.598,0.732,4,-7.013,1,0.425,0.144,0.0,0.508,0.595,172.329,4,funk,1.2548553893575172,-0.32447990762408546
37607,7jLbTp3qZzah9kMIdW8e5M,2Pac,Loyal To The Game,Ghetto Gospel,69,238053,True,0.794,0.614,5,-5.352,0,0.0467,0.0964,0.0,0.0788,0.663,80.569,4,funk,0.8597106778523259,1.3712194789932641
37651,6vBMMa2erexusV4XrgXea9,2Pac,Until The End Of Time,Lil' Homies,64,223973,True,0.897,0.815,10,-4.227,0,0.212,0.159,0.0,0.0637,0.804,97.6,4,funk,1.658483131876726,1.7092153389404674
37752,2zoobJFEB9h15fjYjRd6oP,2Pac,Greatest Hits,Hail Mary,67,312373,True,0.772,0.644,10,-6.318,0,0.265,0.158,4.14e-06,0.366,0.388,82.05,4,funk,0.5889659448996571,0.5156099897812897
37203,4VQNCzfZ3MdHEwwErNXpBo,2Pac;Big Syke,All Eyez On Me,All Eyez On Me (ft. Big Syke),77,307773,True,0.872,0.723,1,-5.968,1,0.247,0.0293,0.0,0.327,0.843,93.279,4,funk,1.561475437826277,1.5246104536789937
37152,0Z2J91b2iTGLVTZC4fKgxf,2Pac;Outlawz,Greatest Hits,Hit 'Em Up - Single Version,81,312626,True,0.916,0.844,7,-3.967,1,0.236,0.0394,0.0,0.0778,0.586,95.19,4,funk,1.7327969114589525,1.1755239509279856
37502,7sKt5Y2zJpYw78iAxndB8y,2Pac;Rappin' 4-Tay,All Eyez On Me,Only God Can Judge Me (ft. Rappin' 4-Tay),68,296906,True,0.802,0.787,11,-6.009,0,0.206,0.00127,0.000181,0.0763,0.806,90.189,4,funk,1.4694796201133737,1.3517176713971888
37218,3ia3dJETSOllPsv3LJkE35,2Pac;Roger;Dr. Dre,Greatest Hits,California Love - Original Version,79,284906,True,0.763,0.85,7,-3.052,1,0.0417,0.0304,1.21e-06,0.371,0.761,91.519,4,funk,1.9175559614704447,0.7703793261498162
37753,6LwrEZNkvFTOypNwSLjuaJ,2Pac;Snoop Dogg,All Eyez On Me,2 Of Amerikaz Most Wanted (ft. Snoop Doggy Dogg),69,246533,True,0.849,0.904,8,-4.78,1,0.138,0.0248,5.11e-05,0.0545,0.854,99.258,4,funk,1.9548830897887979,1.4313417240665598
37400,1ofhfV90EnYhEr7Un2fWiv,2Pac;Talent,Greatest Hits,Changes,73,268826,True,0.865,0.665,7,-6.289,1,0.073,0.0453,0.0,0.224,0.331,111.113,4,funk,0.971216553174524,0.5444572053699337
37516,3dkXSYgqtNE3BlLendqGnU,2T;Chris Beats Zn;Tz da Coronel;SoudCrime,Favelado Chique,1.5.7,49,163000,True,0.583,0.635,4,-6.033,0,0.0393,0.0327,0.0,0.422,0.236,119.942,5,funk,0.6301611979066345,-0.7604575453457764
71113,2Lkn3Of9JHY6RSA8c3omKT,3 Doors Down,Обратно в клас - rock,Here Without You,0,238560,False,0.556,0.545,10,-6.768,0,0.0255,0.0635,0.0,0.124,0.193,143.991,4,metal,0.2577411228521926,-0.6491402686489994
71115,74NANS3BFQRnpz3S0JVg5o,3 Doors Down,Emo Christmas 2022,It's Not My Time - Acoustic,0,238373,False,0.674,0.58,0,-8.081,1,0.0312,0.311,2.41e-05,0.198,0.305,128.003,4,metal,0.042149222337929414,0.18581396884256102
71117,5ugV3rhvi2h6l52e1cIfLw,3 Doors Down,Fishing Music,Kryptonite,0,234626,False,0.544,0.848,11,-6.804,0,0.0288,0.00395,5.22e-05,0.134,0.489,99.039,4,metal,0.9488761410342895,-0.28815209611435033
71118,1aL952bo0KZTPevSl3207C,3 Doors Down,Rock Workout 2023,Kryptonite,1,234626,False,0.544,0.848,11,-6.804,0,0.0288,0.00395,5.22e-05,0.134,0.489,99.039,4,metal,0.9488761410342895,-0.28815209611435033
71151,3NLrRZoMF0Lx6zTlYqeIo4,3 Doors Down,Away From The Sun,Here Without You,76,238733,False,0.557,0.533,10,-6.817,0,0.0252,0.0492,0.0,0.205,0.233,143.994,4,metal,0.3217806926509212,-0.6320817835851985
71311,6ZOBP3NvffbU4SZcrnt1k6,3 Doors Down,The Better Life,Kryptonite,80,233933,False,0.545,0.865,11,-5.708,0,0.0286,0.00664,1.1e-05,0.168,0.543,99.009,4,metal,1.1616912187116717,-0.2405139491022211
71425,2Zi27tBhXnDQTz3porgaiw,3 Doors Down,Seventeen Days,Here Without You - Acoustic Version,64,232013,False,0.551,0.574,10,-6.265,0,0.0263,0.0203,0.0,0.186,0.308,143.734,4,metal,0.5543849796401249,-0.5666017581028713
71761,3WbphvawbMZ8FyqDxYGdSQ,3 Doors Down,Away From The Sun,When I'm Gone,70,260333,False,0.53,0.768,7,-5.611,1,0.0284,0.00385,0.0,0.103,0.374,148.095,4,metal,1.0615012262220556,-0.7155714718959009
19830,71DzeSJmIaZ9UhJ1rJJ5Od,38 Special,Fishing Music,Caught Up In You,3,278133,False,0.361,0.787,1,-4.982,0,0.0363,0.0197,0.000586,0.0421,0.889,130.693,4,country,1.2564035799559312,-0.08804992189157244
19834,6u3HTPvOxhVWllNhu07vvA,38 Special,80s Bangers Vol. 2,Hold On Loosely,0,279754,False,0.565,0.707,9,-5.65,1,0.0298,0.0101,8.16e-05,0.0851,0.831,127.222,4,country,1.2565902986599038,0.536986636264728
71546,71DzeSJmIaZ9UhJ1rJJ5Od,38 Special,Fishing Music,Caught Up In You,3,278133,False,0.361,0.787,1,-4.982,0,0.0363,0.0197,0.000586,0.0421,0.889,130.693,4,metal,1.2564035799559312,-0.08804992189157244
71547,6u3HTPvOxhVWllNhu07vvA,38 Special,80s Bangers Vol. 2,Hold On Loosely,0,279754,False,0.565,0.707,9,-5.65,1,0.0298,0.0101,8.16e-05,0.0851,0.831,127.222,4,metal,1.2565902986599038,0.536986636264728
32187,1KNi6PNEbQYnkxmqeschok,3LAU;Bright Lights,Beginner Ride (Mixtape Vol. 1),How You Love Me,0,210468,False,0.512,0.791,1,-3.647,1,0.0815,0.18,0.0,0.34,0.287,127.965,4,electronic,0.9562369537031403,-0.9534570366559159
32616,0A1y3d5O3SDvXaQ8snkmOf,3LAU;Bright Lights,How You Love Me,How You Love Me,48,210468,False,0.496,0.789,1,-3.648,1,0.0839,0.183,0.0,0.34,0.286,127.961,4,electronic,0.9254788067281388,-1.002112626571649
32230,3D37T7euWvVJ45evRmriIh,3LAU;Justin Caruso;Iselin,Better With You,Better With You,59,192941,False,0.571,0.752,3,-4.872,1,0.0293,0.0196,6.92e-05,0.114,0.25,102.043,4,electronic,0.7657284787157462,-0.5863125115831844
32675,229MM2St7SnW43nT8ADlG8,3LAU;Ninja,Game Time (feat. Ninja),Game Time (feat. Ninja),52,156631,False,0.534,0.957,1,-4.025,1,0.0455,8.05e-05,0.758,0.266,0.52,95.046,4,electronic,0.6690587891803502,-1.6190641132318457
86209,0R97k5AJy1udJI6mGV82FJ,3OH!3,Dirty Mind,Dirty Mind,63,197601,True,0.642,0.861,4,-3.837,1,0.294,0.0318,0.0,0.23,0.582,92.912,4,punk,1.4752352590177102,0.1283115905804779
86654,1hBM2D1ULT3aeKuddSwPsK,3OH!3;Katy Perry;Matt Squire,WANT (Deluxe),STARSTRUKK (feat. Katy Perry),65,202666,True,0.607,0.805,11,-5.579,0,0.0608,0.00175,0.0,0.231,0.232,139.894,4,punk,1.1268810725606742,-0.8734535798654054
64984,1kkCeMpEx707LGM1nh9uyG,48th St. Collective,"Vintage Café: Lounge and Jazz Blends, Vol. 22",Love is in the Air,0,171039,False,0.64,0.395,2,-11.977,1,0.0264,0.79,0.12,0.0946,0.439,108.062,4,jazz,-1.6407033940324462,1.1029025716650733
51652,7iL6o9tox1zgHpKUfh9vuC,50 Cent,Get Rich Or Die Tryin',In Da Club,83,193466,True,0.899,0.713,6,-2.752,0,0.366,0.255,0.0,0.0708,0.777,90.051,4,hip-hop,1.4113682622884525,1.8829211823307348
37615,1hB4340DP1nnBmfWn37uTN,509-E;Dexter;Afro-X,Provérbios 13,Saudades Mil,48,526026,True,0.624,0.589,2,-6.669,1,0.281,0.302,0.0,0.124,0.78,76.847,4,funk,0.25719948595770276,1.280327376230059
87203,1hB4340DP1nnBmfWn37uTN,509-E;Dexter;Afro-X,Provérbios 13,Saudades Mil,48,526026,True,0.624,0.589,2,-6.669,1,0.281,0.302,0.0,0.124,0.78,76.847,4,r-n-b,0.25719948595770276,1.280327376230059
87808,5HpX5jzbL8OweC2nAG0bC2,509-E;Dexter;Afro-X,MMII-DC (2002 Depois de Cristo),Mile Dias,41,309066,True,0.767,0.509,0,-6.123,1,0.28,0.301,0.00329,0.494,0.733,153.537,4,r-n-b,0.9091983868710308,1.0146318800635679
32071,7zbAkNH3VPpgQlUVA60Dzn,6091;Chai Lenin,En Sadhai,En Sadhai,39,156500,False,0.521,0.34,11,-15.534,0,0.0564,0.186,0.827,0.0866,0.141,160.0,4,electronic,-2.2128442711463396,-1.5908588880814931
32152,7jxHIp9ySV3n3VuHJFKKFn,6091;Krameri,When you are gone,When you are gone,34,180000,False,0.709,0.286,5,-14.846,1,0.0453,0.964,0.128,0.43,0.256,103.952,3,electronic,-2.3687461020309364,1.0120556455550835
32506,37Z5k8wOib7DGYhMZ07EfK,6091;Padmaja Sreenivasan,Malligai,Malligai,26,158316,False,0.443,0.55,1,-8.551,1,0.0877,0.93,5.58e-05,0.347,0.33,143.651,1,electronic,-1.0660098676331422,-0.10989311409185559
32060,04ht5irz2s6Q3vuWXkAOTU,6091;Rakhooo,Kanaavile,Kanaavile,41,187153,False,0.649,0.478,3,-10.729,1,0.0333,0.655,0.14,0.187,0.373,148.021,4,electronic,-0.9472179231689332,0.4351706762655111
32072,2bU1rQhNBzkNDIzjFcjTXU,6091;Rakhooo,Lofi Dreams,Kanaavile - Re imagined,38,142702,False,0.551,0.422,3,-13.969,1,0.0354,0.976,0.862,0.141,0.312,74.035,4,electronic,-3.304970866420178,-0.20076863566266082
32222,5Rn7kDoevGo2IcEJWU0EKb,6091;Sayanora Philip,Born in Kerala,Born in Kerala,32,145548,False,0.446,0.442,8,-14.613,1,0.177,0.79,0.55,0.374,0.611,116.185,3,electronic,-2.2428032436783063,-0.08857101994045186
87262,3Er9Htk9n0ueYRa0o4yIhv,7 Minutoz,Rap Do Asta: Eu Vou Ser O Rei Mago (Nerd Hits),Rap Do Asta: Eu Vou Ser O Rei Mago (Nerd Hits),47,200758,False,0.7,0.76,7,-6.366,0,0.0508,0.582,3.12e-05,0.161,0.691,109.939,4,r-n-b,0.4745679401808487,1.182377466796841
87273,1w20E6WZTvi5HsKua0NG7M,7 Minutoz,Rap do Deidara: A Arte é a Explosão (Nerd Hits),Rap do Deidara: A Arte é a Explosão (Nerd Hits),47,183529,False,0.568,0.777,4,-7.147,0,0.212,0.35,0.0,0.264,0.504,170.001,4,r-n-b,0.7988166909523294,-0.24799052155702286
87373,4V1MFUToEN7zm41vYdmWvo,7 Minutoz,Rap Do Kira: O Deus Do Novo Mundo (Nerd Hits),Rap Do Kira: O Deus Do Novo Mundo (Nerd Hits),45,182727,False,0.533,0.699,9,-6.661,1,0.053,0.655,1.49e-06,0.232,0.345,88.009,4,r-n-b,-0.4163641880285046,0.13218838527083618
87406,1HUXo7tsJsoaxstbUl6wBy,7 Minutoz,Jinchuuriki,Vale Do Fim,44,256500,False,0.573,0.513,2,-8.565,0,0.0464,0.359,2.25e-05,0.171,0.115,89.976,4,r-n-b,-0.7532086537798026,-0.17565841359753914
87413,5iSlAizREe6tmItzcUNsko,7 Minutoz,Rap do Omni-Man: Olhem pro Céu (Nerd Hits),Rap do Omni-Man: Olhem pro Céu (Nerd Hits),45,301597,False,0.399,0.738,5,-6.158,0,0.14,0.701,0.0,0.0867,0.262,90.044,4,r-n-b,-0.6556326770629973,-0.37030186539978
87459,6q6zmOARk8moaflhyCfso5,7 Minutoz,Jinchuuriki,Shippuden,44,190104,True,0.599,0.461,5,-9.47,0,0.0424,0.584,0.00891,0.288,0.0954,103.102,4,r-n-b,-1.1351834143944548,-0.02812126696190971
87460,0lCfJ4xyNBbvd7PV6kzA1s,7 Minutoz,Rap Do Tanjiro: Filho Do Sol (Nerd Hits),Rap Do Tanjiro: Filho Do Sol (Nerd Hits),44,131105,False,0.657,0.495,6,-9.73,1,0.041,0.403,0.0,0.303,0.308,107.105,3,r-n-b,-0.5298269677901908,0.3699033133881592
87561,5pVARXJMB0vwfgdSifKxHa,7 Minutoz,Rap do Killua: Meu Nome Começa com Kill (Nerd Hits),Rap do Killua: Meu Nome Começa com Kill (Nerd Hits),43,240782,False,0.671,0.534,8,-8.15,0,0.204,0.103,0.0,0.332,0.418,84.977,4,r-n-b,0.14090703043029704,0.3797035683365157
87710,4ujiGaEqeg8aMtXLNWL8HX,7 Minutoz,Rap Do Kaneki: Faminto Por Humanos (Nerd Hits),Rap Do Kaneki: Faminto Por Humanos (Nerd Hits),42,257560,False,0.563,0.933,9,-6.931,0,0.177,0.113,0.0,0.119,0.364,164.061,4,r-n-b,1.2383382908514857,-0.8072248506425109
87715,0u9lQ6ny51xQFQk9ROKh5w,7 Minutoz,Rap do Escanor: Orgulhoso Como um Leão,Rap do Escanor: Orgulhoso Como um Leão,42,287332,False,0.588,0.911,0,-8.401,0,0.171,0.252,2.57e-06,0.0711,0.259,116.074,4,r-n-b,0.48084323156707526,-0.47276980854478956
87756,5436OOhc4THarMSIJ5Ni9d,7 Minutoz,Suiton,Suiton,42,186686,False,0.741,0.779,6,-5.168,0,0.0376,0.413,5.03e-06,0.0491,0.51,102.02,4,r-n-b,0.6727627477317828,0.8852658667434444
87864,6nKlO070QY5G3Ppz6K9Y4r,7 Minutoz,Rap do Kratos: Eu Sou um Deus (NERD HITS),Rap do Kratos: Eu Sou um Deus (NERD HITS),41,273214,False,0.613,0.745,9,-9.253,0,0.0655,0.562,0.0,0.161,0.322,94.019,4,r-n-b,-0.3789684665961479,0.2759986386137604
